title,video_url,views,video_age
FAKE FACTS 4 (YIAY #470),https://youtube.com//watch?v=lU8rrPeG8p0,2.1M views,1 year ago
I will write your papers for free. (JackAsk #93),https://youtube.com//watch?v=hTzJ7eEH3MQ,1.2M views,1 year ago
How Game of Thrones will end. (YIAY #469),https://youtube.com//watch?v=91yP7kKszvE,1.2M views,1 year ago
FIX YOUR TWITTER BIOS 8,https://youtube.com//watch?v=y-P3O218gms,2.1M views,1 year ago
Why are people so mad at Game of Thrones?,https://youtube.com//watch?v=8EY6cGgpiV4,860K views,1 year ago
Ranking the Highest Grossing Films of All Time,https://youtube.com//watch?v=xgBZtgRUvUI,798K views,1 year ago
Watch Endgame. Beat Avatar.,https://youtube.com//watch?v=Eb9Z8gutG8I,949K views,1 year ago
quick question,https://youtube.com//watch?v=Vh7FlZa-UIE,1.2M views,1 year ago
"Star Wars: Episode IX Trailer ""Reaction""",https://youtube.com//watch?v=8eEOLRZ3jnc,920K views,1 year ago
THE FINAL ROSES ARE RED ONE (YIAY #468),https://youtube.com//watch?v=3-njs-DNQFk,1.5M views,1 year ago
Avengers Endgame post-credits scene (YIAY #467),https://youtube.com//watch?v=6yoBCr_3WPg,1M views,1 year ago
Playing Smash Bros Ultimate with Strangers,https://youtube.com//watch?v=qC5VKgrzQKA,660K views,1 year ago
These are getting harder to do. (JackAsk #92),https://youtube.com//watch?v=9R8KLNr2HKE,1.2M views,1 year ago
Can ANYONE name a single character from the movie Avatar?,https://youtube.com//watch?v=kxp1IBK1OPI,1.9M views,1 year ago
FIX SONIC. (YIAY #466),https://youtube.com//watch?v=9TH7flYwOMU,1.7M views,1 year ago
The Official Flag of Earth (YIAY #465),https://youtube.com//watch?v=QOGrAQS8qUw,2.1M views,1 year ago
LWIAYIAY,https://youtube.com//watch?v=_J2buX_5z7c,2M views,1 year ago
What $300 can get you (YIAY #464),https://youtube.com//watch?v=4pzk7AguxF0,1.6M views,1 year ago
FIX YOUR VIDS (YIAY #463),https://youtube.com//watch?v=vzxcTskPU_E,2.7M views,1 year ago
Galaxy Fold phone Hands-On Review,https://youtube.com//watch?v=icRXJmYBAhY,1.6M views,1 year ago
They deepfaked my wife (JackAsk #91),https://youtube.com//watch?v=O6IvC5DJywg,1.5M views,1 year ago
FIX YOUR TINDER PROFILES! (YIAY #462),https://youtube.com//watch?v=Tt1glbYjWGM,2.7M views,1 year ago
"Mature, please. YOUR GRAMMAR SUCKS #117",https://youtube.com//watch?v=UA0TQDcADsY,1.2M views,1 year ago
THE OFFICIAL FLAG FOR GAMERS (YIAY #461),https://youtube.com//watch?v=ObDe8RDzDJI,3.1M views,1 year ago
Why are you subscribed to me? (YIAY #460),https://youtube.com//watch?v=O_GQbO7Tthg,1.6M views,1 year ago
NEW SMASH BROS LEAK (YIAY #459),https://youtube.com//watch?v=agVoNFNzLjk,1.3M views,1 year ago
"20 Reasons Why You Should Go Vegan Right Now, Bub (YIAY #458)",https://youtube.com//watch?v=DmADo8N3hQQ,1.3M views,1 year ago
1 second of every video I made in 2018,https://youtube.com//watch?v=_x9Nm0q-xws,1.1M views,1 year ago
What's your TED Talk on? (YIAY #457),https://youtube.com//watch?v=OqHR4u3NfFI,1.6M views,1 year ago
Punishing my terrible dog,https://youtube.com//watch?v=Ie6aYQ-tFu4,1.5M views,1 year ago
"I am doing something beautiful on Twitter, and people are getting so mad (my TED talk)",https://youtube.com//watch?v=bBfAJP7vGlw,1.5M views,1 year ago
It's Everyday Bro (good version),https://youtube.com//watch?v=3z0OdgD56v4,2M views,1 year ago
THE WORST CHRISTMAS GIFTS OF 2018 (YIAY #456),https://youtube.com//watch?v=uSpBA5KZHcg,3M views,1 year ago
ROYALTY FREE CHRISTMAS SONGS 5,https://youtube.com//watch?v=6BXE6ewHyQE,2.1M views,1 year ago
The real reason I wasn't in YouTube Rewind. (JackAsk #90),https://youtube.com//watch?v=-7DddoJtzJU,1.4M views,1 year ago
Will Smith grunt,https://youtube.com//watch?v=f-VJvFbkFHU,3M views,1 year ago
"thank u, ness",https://youtube.com//watch?v=tE1LAlA_ZpQ,2.2M views,1 year ago
Top 5 Most EPIC Moments from YouTube Rewind 2018,https://youtube.com//watch?v=HMKntaaSFfg,1M views,1 year ago
Let me fix you! (YIAY #455),https://youtube.com//watch?v=7xgXzcyDaM4,2.1M views,1 year ago
FIX YOUR PIX 3,https://youtube.com//watch?v=0OdX6lvqBkI,5M views,1 year ago
"The best video on YouTube, by far. (JackAsk #89)",https://youtube.com//watch?v=JM-LQ4KrQGo,1.3M views,1 year ago
TWITTER in VR,https://youtube.com//watch?v=UO_2GdcG0jQ,636K views,1 year ago
The Backstreet Boys taught me everything I know about love (JackAsk #88),https://youtube.com//watch?v=_1ABKQ-88Sw,656K views,1 year ago
Burnout.,https://youtube.com//watch?v=ODoUYFR2rJ8,1.2M views,1 year ago
How to be a Social Media Influencer (YIAY #454),https://youtube.com//watch?v=n3GsYq-yROk,978K views,1 year ago
Most Egotistical YouTuber (YIAY #453),https://youtube.com//watch?v=y2MT-uT1ZiU,1.3M views,1 year ago
How to be healthy lol (YIAY #452),https://youtube.com//watch?v=MsrY9u3AQ8c,1.2M views,1 year ago
I'm an Apology Video for Halloween,https://youtube.com//watch?v=QDynXopke8E,1.3M views,1 year ago
Inside the Forehead of Jacksfilms,https://youtube.com//watch?v=DDlCo_uuARY,833K views,1 year ago
"""Whore"" vs. ""Who're""",https://youtube.com//watch?v=Z73iC5-Nuo8,1.4M views,1 year ago
YOUR GRAMMAR SUCKS #116,https://youtube.com//watch?v=89Sutpw1dQ0,1.1M views,1 year ago
"Your Halloween costumes, oof (YIAY #451)",https://youtube.com//watch?v=r3jBqOTNQWs,991K views,1 year ago
Can you CLICKBAIT this sentence? (YIAY #450),https://youtube.com//watch?v=wbk_DlKRyfU,1.8M views,1 year ago
when you see Stan Lee in a Marvel movie,https://youtube.com//watch?v=RgJns-mLLeg,1.1M views,1 year ago
Twitch is just sweaty men playing Fortnite (YIAY LIVE #7),https://youtube.com//watch?v=vT8W67_lX08,525K views,1 year ago
SPOOK ME UP 2018! (YIAY #449),https://youtube.com//watch?v=EMKMhcad2Mo,2.2M views,1 year ago
YOU - but in just 4 words. (YIAY #448),https://youtube.com//watch?v=DJt98MkNcXM,1.8M views,1 year ago
iPhone vs. Android! (YIAY #447),https://youtube.com//watch?v=Koj65KaqLNU,2.6M views,1 year ago
Fun with an ultrawide monitor (YIAY #446),https://youtube.com//watch?v=OoQUkGAyiYM,1.6M views,1 year ago
I hate when YouTubers do this. (YIAY #445),https://youtube.com//watch?v=a8FhJcwykBs,1.8M views,1 year ago
"Let's clean up ""I Love It"" (YIAY LIVE #6)",https://youtube.com//watch?v=uYgH4JuyagQ,887K views,1 year ago
iPhone XS: Spot the difference! (YIAY #444),https://youtube.com//watch?v=Ds1KZciLHZs,2.1M views,1 year ago
YouTubers I wanna box (JackAsk #87),https://youtube.com//watch?v=oqEJOkN4tBs,1M views,1 year ago
I FINALLY WON. (YIAY LIVE #5),https://youtube.com//watch?v=wFwdkcriKAQ,660K views,1 year ago
Kidzbopify It Again! (YIAY #443),https://youtube.com//watch?v=4Uvd4TCOMtk,1.7M views,1 year ago
iPhone XS (parody),https://youtube.com//watch?v=Ol3LhKQJC1U,2.7M views,1 year ago
Your autobiography. (YIAY LIVE #4),https://youtube.com//watch?v=MN-b16G7EMo,517K views,1 year ago
CLICKBAIT IT! (YIAY LIVE #3),https://youtube.com//watch?v=uIgMu2_rIO4,586K views,1 year ago
Roses are Red... (YIAY LIVE #2),https://youtube.com//watch?v=UvWN9oyiqW0,529K views,2 years ago
HOW TO GO VIRAL (YIAY #442),https://youtube.com//watch?v=XN1eVyTHt3Y,1.1M views,2 years ago
YIAY LIVE #1,https://youtube.com//watch?v=CtN-q4IOrkU,689K views,2 years ago
Only 90s kids can watch this video. (YIAY #441),https://youtube.com//watch?v=n0LbowREy2U,1.7M views,2 years ago
"My Big, Fat Announcement. (YIAY #440)",https://youtube.com//watch?v=N6MXspLcTxA,1.8M views,2 years ago
Los Angeles in 4 words (YIAY #439),https://youtube.com//watch?v=cJX0tC3sYY8,1.2M views,2 years ago
I'm super duper sorry. (YIAY #438),https://youtube.com//watch?v=zRs1-AD4Vv0,1.4M views,2 years ago
YIAY SPY (YIAY #437),https://youtube.com//watch?v=2Mab1u4gHNY,1.2M views,2 years ago
REJECTED YIAY QUESTIONS! (YIAY #436),https://youtube.com//watch?v=LeUXTma0IWM,2.7M views,2 years ago
NAME THIS SONG. (YIAY #435),https://youtube.com//watch?v=2N7_GUDdPiI,1.9M views,2 years ago
Why are these dogs fighting? (YIAY #434),https://youtube.com//watch?v=n33KBCiIFwI,2M views,2 years ago
Your SUPERVILLAIN Name (YIAY #433),https://youtube.com//watch?v=258HAY-AlTc,1.5M views,2 years ago
FIX YOUR ART 2 (YIAY #432),https://youtube.com//watch?v=u7YutiHTOqY,2.5M views,2 years ago
These 4 words will drive her wild (YIAY #431),https://youtube.com//watch?v=l0MC5Swvtso,1.7M views,2 years ago
"Your Wonderful, Beautiful YIAY OUTROS (YIAY #430)",https://youtube.com//watch?v=j8BfPkcnE2A,7.6M views,2 years ago
