Title,Year,Duration,Rating,Total Voted,Year Released,Language,Budget,Gross,Color,Top Actors,Genre
Aquaman and the Lost Kingdom,2023,2h 4m,5.6,75K,"December 21, 2023",['English'],"$205,000,000","$124,481,226",['Color'],"Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II, Amber Heard, Nicole Kidman","Action, Adventure, Fantasy"
The First Omen,2024,2h,,,"April 5, 2024",['English'],,,['Color'],"Nell Tiger Free, Ralph Ineson, Sonia Braga, Tawfeek Barhom, Maria Caballero",Horror
Irish Wish,2024,1h 33m,5.2,7.6K,"March 15, 2024",['English'],,,['Color'],"Lindsay Lohan, Ed Speleers, Alexander Vlahos, Ayesha Curry, Elizabeth Tan","Comedy, Fantasy, Romance"
20 Days in Mariupol,2023,1h 35m,8.6,16K,"August 31, 2023","['Russian', 'Ukrainian', 'English']","$20,555",,['Color'],"Mstyslav Chernov, Evgeniy Maloletka, Liudmyla Amelkina, Roman Golovanov, Zhanna Homa","Documentary, War"
Late Night with the Devil,2023,1h 33m,7.5,1.8K,"April 11, 2024",['English'],"$1,100,000","$1,100,000","['Black and White', 'Color']","David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi, Ingrid Torelli",Horror
The Iron Claw,2023,2h 12m,7.7,46K,"February 9, 2024",['English'],"$15,000,000","$35,070,296",['Color'],"Zac Efron, Jeremy Allen White, Harris Dickinson, Maura Tierney, Holt McCallany","Biography, Drama, Sport"
Monkey Man,2024,2h 1m,7.5,441,"April 5, 2024",['English'],,,['Color'],"Dev Patel, Sharlto Copley, Pitobash, Sobhita Dhulipala, Adithi Kalkunte","Action, Thriller"
All of Us Strangers,2023,1h 45m,7.8,36K,"December 22, 2023",['English'],"$4,050,103","$117,965",['Color'],"Andrew Scott, Paul Mescal, Carter John Grout, Jamie Bell, Claire Foy","Drama, Fantasy, Romance"
Interstellar,2014,2h 49m,8.7,2.1M,"November 7, 2014",['English'],"$165,000,000","$188,020,017",['Color'],"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy, Ellen Burstyn","Adventure, Drama, Sci-Fi"
Immaculate,2024,1h 29m,6.3,1.7K,"March 22, 2024",['English'],"$2,000,000","$2,000,000",['Color'],"Sydney Sweeney, Álvaro Morte, Simona Tabasco, Benedetta Porcaroli, Giorgio Colangeli",Horror
Fear,1996,1h 37m,6.2,54K,"April 12, 1996",['English'],"$20,831,000","$6,312,240",['Color'],"Mark Wahlberg, Reese Witherspoon, William Petersen, Amy Brenneman, Alyssa Milano","Drama, Thriller"
Perfect Days,2023,2h 4m,7.9,26K,"April 12, 2024","['Japanese', 'English']","$3,120,853","$100,924",['Color'],"Koji Yakusho, Tokio Emoto, Arisa Nakano, Miyako Tanaka, Long Mizuma",Drama
The Idea of You,2024,1h 55m,6.4,134,"May 2, 2024",['English'],,,['Color'],"Anne Hathaway, Nicholas Galitzine, Ella Rubin, Annie Mumolo, Reid Scott","Drama, Romance"
One Day,2011,1h 47m,7.0,166K,"December 23, 2011",['English'],"$15,000,000","$13,843,771",['Color'],"Anne Hathaway, Jim Sturgess, Patricia Clarkson, Tom Mison, Jodie Whittaker","Drama, Romance"
